,PS1,PS3,PS4,PS5,EPS1,VS1
706,0.006562315512556427,-0.016053372175755302,-0.04861331297726828,0.01349434859876014,0.046833695471364865,-0.02650671583434653
949,-0.017046118874943603,0.013957802662032932,-0.050939498855085405,-0.009965975220208067,-0.01451545693918307,-0.018642375199500707
334,-0.005967009202891546,-0.011223066072277254,-0.04908596309202547,-0.003362325270046147,-0.006891072404913586,-0.04038149934934596
1890,0.011480888236769154,0.0010337107439107648,0.0987736671811168,0.004808669885088443,-0.024701463068015364,0.0005082994353121911
102,-0.01135678953133188,-0.03636011472871532,-0.04713280883360074,0.004723383882692113,-0.0019825411128043206,-0.022898172598450315
2074,-0.013179070025078898,0.03447782401534943,0.10897776646320616,0.019688659845213164,0.05294637174313252,-0.027380172284972845
309,-0.01299668642205979,-0.02483724809870776,-0.05172963912345533,-0.01823214965732606,0.01844739177440001,-0.012232800090418936
695,0.008941083053717422,-0.013506329589126218,-0.04709337325826479,0.026802008556312453,0.05860863978201257,-0.03191243327736916
175,-0.012535981565417388,-0.032528990604691325,-0.05118315538636183,-0.017311251901532314,-0.009148428239140218,-0.031835825545555016
1511,-0.029083665978262584,0.02294935166837287,0.10783423760874997,0.026845423326133176,-0.015629239204621833,0.0013830786352912114
78,-0.0131543991066915,-0.033804899137520064,-0.04568916876277587,0.02088603208001933,-0.0004412558563848083,-0.021792094602554303
1691,-0.010430944298351175,0.014900069796897224,0.12420483942611404,0.029961594260589385,0.063222457391757,-0.004671645501047202
2167,0.027399626711964796,0.013072263594279867,0.15124676038635435,0.014258593205027119,-0.009487890915995141,0.006367294834464849
1708,0.0007483486695342018,0.01734902101259561,0.12938292330440831,0.04288687948465052,0.0601587887535327,0.03506575550831571
699,0.005810321118356526,-0.01098803552505365,-0.04854688284710905,0.018630978329482614,0.04485510018949107,-0.03397300599733227
901,-0.04396540850872631,-0.022209143863731427,-0.060289022939841494,-0.020893215875759756,-0.030628609095927496,-0.03517889822733315
782,-0.023912046879769666,-0.03181761919433285,-0.05457015259673868,-0.014782624389084228,-0.03304412537984564,-0.01631578709987777
1704,-0.001829073157466346,0.02071943299190208,0.14288100437238332,0.039945702859998475,0.07253484035718817,0.0518889111104965
348,0.08173911110078835,0.09604846420100807,0.2333806011559358,0.0363205021317447,0.07111422398539308,0.12860150360750255
621,0.24095276669611518,0.1599391599250001,-0.010932266429611865,0.02261002667390081,0.1259428070101106,0.15089064530123683
1371,-0.039211561314594724,-0.023090921459229606,-0.05594925851477886,-0.011701143187754982,-0.019613164318950164,-0.027296277084838838
122,-0.01266408412111756,-0.03170417963972112,-0.04972430810113418,-0.004004382828466563,-0.005816721987264518,-0.016585307987525666
641,0.03283773623842337,0.030069787240957078,-0.04198171150236929,-0.024462550999503473,0.014067036603306191,0.05697659682984729
1052,-0.03428026769479913,-0.0306884876559207,-0.05826566731759048,-0.02337565779197716,-0.02397323466202765,-0.03265188938969933
2166,0.0368661538618103,0.009901789732394462,0.1538603635145699,0.011830855285802393,-0.010197786287512185,-0.0009598857465579012
1309,-0.014587956245055399,-0.03259824649626375,-0.05164211384204997,-0.02736554458414897,-0.02495610119210724,-0.036145098113613626
892,-0.045382011148264026,-0.03335410557489574,-0.057790152660654626,-0.022621622899052424,-0.032343595083262636,-0.01502844630200881
1776,-0.01924272646472075,-0.012424253921832742,0.06927225669902591,-0.0020606387655173093,-0.03335669509183668,-0.023465038882966777
1431,-0.004978438512129764,-0.027358868752560293,-0.05090786810290483,-0.02522906938469721,-0.02131712728853548,-0.022336182661328557
844,-0.043858635166248106,-0.03412382575014952,-0.059215432927717596,-0.02488524778542563,-0.03312542052789609,-0.023895850986093897
1139,-0.038390565119386,-0.03500588375655429,-0.06187289473826622,-0.03274897785659202,-0.02201597220946118,-0.03900383561435971
1521,-0.02649790464220999,0.0013385727473076616,0.10236172244453724,0.015298400055804772,-0.007729145282025495,0.011465679039774601
996,-0.03151101680184558,-0.024845256590850073,-0.05642472949050961,-0.016284672433211543,-0.02164937442334244,-0.010055072314694026
994,-0.024676899202582536,-0.027331439201352628,-0.05333222453075656,-0.007538439637127954,-0.022206180080952896,-0.010982267161059626
1563,-0.025389515117529717,-0.002513255190641099,0.10763585561439451,0.0023451365941648747,-0.014100407500162601,0.00880862557598124
1792,-0.03296492998541132,0.008717155297759032,0.10695820936190541,0.030384034960104736,0.018075750136436496,-0.011184765070721386
686,0.04227415953692661,0.04818723320187375,-0.04068020802973517,-0.013460948013720565,0.03634705836848912,0.057280534806832484
162,-0.013688328263691499,-0.03409391613548965,-0.05143894457568683,-0.01606654557331773,-0.012420217865261457,-0.035386451060444
323,-0.0036437959090563493,-0.0016712495565276188,-0.02543161269459801,-0.006187977163620263,0.007773217870959227,0.008800489185284529
415,0.05568691546982096,0.05175396710691717,0.07909440095974592,0.0021325487546806597,0.03213680932556329,0.06245140549248186
749,-0.008483576433628348,-0.024596987647332317,-0.04578055353678705,0.01882466947611628,-0.00817500716901609,0.016373580691987966
1627,-0.03166608870299102,-0.005420269578864131,0.1597857883431324,0.0045007246032188735,-0.009784015821591597,-0.007401912688337939
1861,-0.030934600568366798,0.005823984890217886,0.07279563338053635,0.004818597789357119,-0.019912614476944063,-0.04296809992443572
1015,-0.026392906316842428,-0.02726747593432429,-0.05579216026936857,-0.020894391519146186,-0.02799372340656714,-0.024770271897147443
1295,-0.005674970782560837,-0.033145183902198505,-0.04826735866339072,-0.01921115346669803,-0.02523475614807895,-0.019928665633371312
966,-0.009249326497873418,0.0004661969960968373,-0.04851249205852616,-3.0768371110186446e-05,-0.017393668158515202,-0.01205026798646099
386,0.057256452047025515,0.059403828448365815,-0.035640847409375884,-0.020299690683929325,0.024262756408815277,0.0792181449569388
1,0.04322460227856689,0.09012920185411857,0.016452444982224902,0.07249478967607909,0.053644997659653346,0.04502810604530437
365,0.09662608795155024,0.11453885193559216,-0.021027995829107242,0.01720498144681782,0.05837275302664119,0.0891631335486509
718,0.016075217954111085,-0.0010367033575300593,-0.04424452169569,0.018358500180166326,0.04444551231651848,0.011101941803836689
63,-0.01151231948321852,-0.033177519637493796,-0.044172768810043006,0.02374174669829067,-0.0046004611471746485,-0.019909268376409422
101,-0.009462581915349308,-0.03636652404278842,-0.04656980049094056,0.00916268722646428,-0.000324619534460828,-0.02478384156075515
523,0.03582222997150522,0.03831755911029259,-0.04160960366370355,-0.013302943833872179,0.02438843699576538,0.05472070289258451
1553,-0.018179096883235643,-0.004834658347958869,0.17201105662556115,0.00023759634940362373,-0.012479434743735958,7.615574045843898e-05
2177,0.0002344129877661083,-0.004274255444439918,0.1375280217857386,0.02099344856850504,-0.00915280444021075,-0.015479396640682624
1659,-0.03401502306690891,0.006841410896907407,0.143033131648175,0.024764005029954697,-0.0234775206254609,-0.026168479319036587
13,-0.0013342281310140536,-0.012039155444941187,-0.04064121947968615,0.015499473147779157,-0.0161674526631722,0.011913132599258289
1291,-0.002707976105522557,-0.023102945804642776,-0.04746079241793327,-0.013529948454875235,-0.022183666642275546,-0.02453538748831498
